code	year	month	day	hour	mer	exit_v	h
166	2011	04	10	12	111000	200	8970
187	2012	04	12	15	1290000	250	10200
194	2013	02	28	11	834000	200	10130
191	2013	02	20	14	190000	200	6600
189	2013	02	19	05	296000	200	8210
205	2013	11	23	10	3570000	250	11010
212	2015	12	03	03	4290000	250	14700
213	2015	12	04	10	1460000	250	13220
214	2015	12	04	22	1290000	250	13360
215	2015	12	05	17	703000	200	13220
225	2021	02	16	17	341000	200	8100
226	2021	02	18	00	296000	200	9060
227	2021	02	19	09	278000	200	10010
229	2021	02	23	00	2020000	250	12560
230	2021	02	24	21	219000	200	11280
231	2021	02	28	09	2810000	250	11920
233	2021	03	04	09	347000	200	11280
234	2021	03	07	07	1550000	250	11600
235	2021	03	10	02	386000	200	9630
238	2021	03	17	04	150000	200	6390
239	2021	03	19	10	817000	200	10400
240	2021	03	24	03	54100	150	6920
253	2021	06	14	22	28400	150	6380
256	2021	06	19	19	59100	150	7800
257	2021	06	20	22	102000	200	10330
260	2021	06	23	19	10105	200	11620
261	2021	06	24	10	40900	150	11920
277	2021	09	21	08	453000	200	10970
278	2021	10	23	09	1770000	250	12340
280	2022	02	10	21	820000	200	13310
281	2022	02	21	11	874000	200	10300
283	2023	05	21	08	395000	200	13580
287	2024	07	07	03	110000	200	12300
288	2024	07	15	20	47700	150	13320
